------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| fromConceptName                                                                                  | rel                  | toConceptName                                                                                    |
==============================================================================================================================================================================================================================
| "AM1-1-Academic foundations"                                                                     | "is_subconcept_of"   | "AM1-Academic and analytical origins"                                                            |
| "AM1-2-Analytical approaches"                                                                    | "is_subconcept_of"   | "AM1-Academic and analytical origins"                                                            |
| "AM2-1-Set theory"                                                                               | "is_subconcept_of"   | "AM2-Query operations and query languages"                                                       |
| "AM2-2-Structured Query Language (SQL) and attribute queries"                                    | "is_subconcept_of"   | "AM2-Query operations and query languages"                                                       |
| "AM2-3-Spatial queries"                                                                          | "is_subconcept_of"   | "AM2-Query operations and query languages"                                                       |
| "AM3-1-Distances and lengths"                                                                    | "is_subconcept_of"   | "AM3-Geometric measures"                                                                         |
| "AM3-2-Direction"                                                                                | "is_subconcept_of"   | "AM3-Geometric measures"                                                                         |
| "AM3-3-Shape"                                                                                    | "is_subconcept_of"   | "AM3-Geometric measures"                                                                         |
| "AM3-4-Area"                                                                                     | "is_subconcept_of"   | "AM3-Geometric measures"                                                                         |
| "AM3-5-Proximity and distance decay"                                                             | "is_subconcept_of"   | "AM3-Geometric measures"                                                                         |
| "AM3-6-Adjacency and connectivity"                                                               | "is_subconcept_of"   | "AM3-Geometric measures"                                                                         |
| "AM4-1-Buffers"                                                                                  | "is_subconcept_of"   | "AM4-Basic analytical operations"                                                                |
| "AM4-2-Overlay"                                                                                  | "is_subconcept_of"   | "AM4-Basic analytical operations"                                                                |
| "AM4-3-Neighborhoods"                                                                            | "is_subconcept_of"   | "AM4-Basic analytical operations"                                                                |
| "AM4-4-Map algebra"                                                                              | "is_subconcept_of"   | "AM4-Basic analytical operations"                                                                |
| "AM5-1-Point pattern analysis"                                                                   | "is_subconcept_of"   | "AM5-Basic analytical methods"                                                                   |
| "AM5-2-Kernels and density estimation"                                                           | "is_subconcept_of"   | "AM5-Basic analytical methods"                                                                   |
| "AM5-3-Spatial cluster analysis"                                                                 | "is_subconcept_of"   | "AM5-Basic analytical methods"                                                                   |
| "AM5-4-Spatial interaction"                                                                      | "is_subconcept_of"   | "AM5-Basic analytical methods"                                                                   |
| "AM5-5-Analyzing multidimensional attributes"                                                    | "is_subconcept_of"   | "AM5-Basic analytical methods"                                                                   |
| "AM5-6-Cartographic modeling"                                                                    | "is_subconcept_of"   | "AM5-Basic analytical methods"                                                                   |
| "AM5-7-Multi-criteria evaluation"                                                                | "is_subconcept_of"   | "AM5-Basic analytical methods"                                                                   |
| "AM5-8-Spatial process models"                                                                   | "is_subconcept_of"   | "AM5-Basic analytical methods"                                                                   |
| "AM6-1-Calculating surface derivatives"                                                          | "is_subconcept_of"   | "AM6-Analysis of surfaces"                                                                       |
| "AM6-2-Interpolation of surfaces"                                                                | "is_subconcept_of"   | "AM6-Analysis of surfaces"                                                                       |
| "AM6-3-Surface features"                                                                         | "is_subconcept_of"   | "AM6-Analysis of surfaces"                                                                       |
| "AM6-4-Intervisibility"                                                                          | "is_subconcept_of"   | "AM6-Analysis of surfaces"                                                                       |
| "AM6-5-Friction surfaces"                                                                        | "is_subconcept_of"   | "AM6-Analysis of surfaces"                                                                       |
| "AM7-1-Graphical methods"                                                                        | "is_subconcept_of"   | "AM7-Spatial statistics"                                                                         |
| "AM7-2-Stochastic processes"                                                                     | "is_subconcept_of"   | "AM7-Spatial statistics"                                                                         |
| "AM7-3-The spatial weights matrix"                                                               | "is_subconcept_of"   | "AM7-Spatial statistics"                                                                         |
| "AM7-4-Global measures of spatial association"                                                   | "is_subconcept_of"   | "AM7-Spatial statistics"                                                                         |
| "AM7-5-Local measures of spatial association"                                                    | "is_subconcept_of"   | "AM7-Spatial statistics"                                                                         |
